Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 100 per second
Sensors:, Pulse (ID 1  Exp 1), Pulse (ID 2  Exp 1)
Range:, Wave, Wave
Units:, Arb, Arb
Time
'0:0:0.0,340,388
'0:0:0.01,350,404
'0:0:0.02,363,425
'0:0:0.03,377,443
'0:0:0.04,392,459
'0:0:0.05,405,467
'0:0:0.06,415,471
'0:0:0.07,423,466
'0:0:0.08,429,461
'0:0:0.09,431,455
'0:0:0.1,430,451
'0:0:0.11,427,447
'0:0:0.12,421,440
'0:0:0.13,416,437
'0:0:0.14,407,431
'0:0:0.15,400,428
'0:0:0.16,391,419
'0:0:0.17,384,414
'0:0:0.18,377,411
'0:0:0.19,371,413
'0:0:0.2,363,412
'0:0:0.21,356,408
'0:0:0.22,350,401
'0:0:0.23,346,392
'0:0:0.24,342,377
'0:0:0.25,338,356
'0:0:0.26,334,334
'0:0:0.27,329,312
'0:0:0.28,328,300
'0:0:0.29,327,287
'0:0:0.3,327,285
'0:0:0.31,327,282
'0:0:0.32,329,287
'0:0:0.33,330,288
'0:0:0.34,332,292
'0:0:0.35,333,290
'0:0:0.36,335,285
'0:0:0.37,335,274
'0:0:0.38,335,264
'0:0:0.39,334,249
'0:0:0.4,332,233
'0:0:0.41,330,214
'0:0:0.42,327,193
'0:0:0.43,324,179
'0:0:0.44,320,162
'0:0:0.45,319,155
'0:0:0.46,316,147
'0:0:0.47,314,147
'0:0:0.48,311,148
'0:0:0.49,311,157
'0:0:0.5,309,163
'0:0:0.51,309,177
'0:0:0.52,309,191
'0:0:0.53,310,210
'0:0:0.54,311,228
'0:0:0.55,309,250
'0:0:0.56,309,271
'0:0:0.57,307,287
'0:0:0.58,307,301
'0:0:0.59,305,309
'0:0:0.6,306,319
'0:0:0.61,305,322
'0:0:0.62,304,332
'0:0:0.63,303,348
'0:0:0.64,305,378
'0:0:0.65,308,414
'0:0:0.66,316,456
'0:0:0.67,326,498
'0:0:0.68,342,542
'0:0:0.69,361,576
'0:0:0.7,382,601
'0:0:0.71,404,615
'0:0:0.72,422,618
'0:0:0.73,438,622
'0:0:0.74,448,620
'0:0:0.75,457,621
'0:0:0.76,460,618
'0:0:0.77,458,619
'0:0:0.78,454,620
'0:0:0.79,449,627
'0:0:0.8,440,635
'0:0:0.81,431,648
'0:0:0.82,421,655
'0:0:0.83,411,662
'0:0:0.84,400,665
'0:0:0.85,390,665
'0:0:0.86,380,656
'0:0:0.87,369,636
'0:0:0.88,360,614
'0:0:0.89,351,583
'0:0:0.9,344,553
'0:0:0.91,335,514
'0:0:0.92,329,479
'0:0:0.93,323,443
'0:0:0.94,319,415
'0:0:0.95,316,387
'0:0:0.96,314,369
'0:0:0.97,312,351
'0:0:0.98,312,342
'0:0:0.99,314,334
'0:0:1.0,314,332
'0:0:1.01,316,330
'0:0:1.02,318,322
'0:0:1.03,320,316
'0:0:1.04,320,304
'0:0:1.05,322,295
'0:0:1.06,320,277
'0:0:1.07,319,261
'0:0:1.08,314,242
'0:0:1.09,313,229
'0:0:1.1,309,214
'0:0:1.11,306,201
'0:0:1.12,302,186
'0:0:1.13,299,173
'0:0:1.14,297,155
'0:0:1.15,295,138
'0:0:1.16,291,119
'0:0:1.17,287,100
'0:0:1.18,284,83
'0:0:1.19,281,62
'0:0:1.2,278,48
'0:0:1.21,275,31
'0:0:1.22,274,19
'0:0:1.23,272,7
'0:0:1.24,272,7
'0:0:1.25,273,8
'0:0:1.26,275,10
'0:0:1.27,276,11
'0:0:1.28,278,19
'0:0:1.29,282,29
'0:0:1.3,286,43
'0:0:1.31,290,57
'0:0:1.32,292,75
'0:0:1.33,296,94
'0:0:1.34,299,110
'0:0:1.35,305,131
'0:0:1.36,313,147
'0:0:1.37,326,166
'0:0:1.38,341,183
'0:0:1.39,360,208
'0:0:1.4,381,241
'0:0:1.41,402,287
'0:0:1.42,419,337
'0:0:1.43,433,394
'0:0:1.44,444,444
'0:0:1.45,449,490
'0:0:1.46,450,521
'0:0:1.47,446,537
'0:0:1.48,439,546
'0:0:1.49,429,542
'0:0:1.5,419,536
'0:0:1.51,406,521
'0:0:1.52,394,508
'0:0:1.53,382,494
'0:0:1.54,372,485
'0:0:1.55,362,474
'0:0:1.56,353,471
'0:0:1.57,344,467
'0:0:1.58,334,467
'0:0:1.59,296,429
'0:0:1.6,271,406
'0:0:1.61,269,409
'0:0:1.62,276,421
'0:0:1.63,286,434
'0:0:1.64,295,440
'0:0:1.65,303,443
'0:0:1.66,308,434
'0:0:1.67,313,420
'0:0:1.68,315,401
'0:0:1.69,321,389
'0:0:1.7,326,378
'0:0:1.71,333,374
'0:0:1.72,336,371
'0:0:1.73,340,377
'0:0:1.74,341,382
'0:0:1.75,338,391
'0:0:1.76,333,397
'0:0:1.77,327,400
'0:0:1.78,323,401
'0:0:1.79,318,394
'0:0:1.8,313,391
'0:0:1.81,308,382
'0:0:1.82,304,374
'0:0:1.83,300,362
'0:0:1.84,298,359
'0:0:1.85,295,356
'0:0:1.86,294,357
'0:0:1.87,291,355
'0:0:1.88,291,361
'0:0:1.89,290,364
'0:0:1.9,290,369
'0:0:1.91,291,370
'0:0:1.92,291,374
'0:0:1.93,293,378
'0:0:1.94,295,380
'0:0:1.95,297,382
'0:0:1.96,297,383
'0:0:1.97,299,384
'0:0:1.98,298,380
'0:0:1.99,299,379
'0:0:2.0,296,371
'0:0:2.01,295,367
'0:0:2.02,294,360
'0:0:2.03,295,358
'0:0:2.04,296,353
'0:0:2.05,297,351
'0:0:2.06,297,347
'0:0:2.07,296,341
'0:0:2.08,295,334
'0:0:2.09,294,323
'0:0:2.1,294,311
'0:0:2.11,293,295
'0:0:2.12,293,280
'0:0:2.13,292,261
'0:0:2.14,295,246
'0:0:2.15,299,233
'0:0:2.16,309,223
'0:0:2.17,322,211
'0:0:2.18,340,202
'0:0:2.19,360,194
'0:0:2.2,383,198
'0:0:2.21,404,210
'0:0:2.22,422,234
'0:0:2.23,436,268
