Experiment name:,Sample experiment
'0:0:0.0,7.63
'0:0:0.01,7.63
'0:0:0.02,7.51
'0:0:0.03,7.63
'0:0:0.04,7.63
'0:0:0.05,7.63
'0:0:0.06,7.63
'0:0:0.07,7.75
'0:0:0.08,7.63
'0:0:0.09,7.63
'0:0:0.1,7.63
'0:0:0.11,7.63
'0:0:0.12,7.51
'0:0:0.13,7.63
'0:0:0.14,7.63
'0:0:0.15,7.63
'0:0:0.16,7.63
'0:0:0.17,7.63
'0:0:0.18,7.51
'0:0:0.19,7.63
'0:0:0.2,7.63
'0:0:0.21,7.63
'0:0:0.22,7.63
'0:0:0.23,7.63
'0:0:0.24,7.51
'0:0:0.25,7.63
'0:0:0.26,7.63
'0:0:0.27,7.63
'0:0:0.28,7.63
'0:0:0.29,7.63
'0:0:0.3,7.63
'0:0:0.31,7.63
'0:0:0.32,7.51
'0:0:0.33,7.63
'0:0:0.34,7.51
'0:0:0.35,7.51
'0:0:0.36,7.51
'0:0:0.37,7.51
'0:0:0.38,7.51
'0:0:0.39,7.63
'0:0:0.4,7.51
'0:0:0.41,7.51
'0:0:0.42,7.38
'0:0:0.43,7.38
'0:0:0.44,7.38
'0:0:0.45,7.38
'0:0:0.46,7.38
'0:0:0.47,7.38
'0:0:0.48,7.38
'0:0:0.49,7.38
'0:0:0.5,7.38
'0:0:0.51,7.38
'0:0:0.52,7.38
'0:0:0.53,7.38
'0:0:0.54,7.38
'0:0:0.55,7.38
'0:0:0.56,7.26
'0:0:0.57,7.38
'0:0:0.58,7.38
'0:0:0.59,7.38
'0:0:0.6,7.38
'0:0:0.61,7.26
'0:0:0.62,7.26
'0:0:0.63,7.38
'0:0:0.64,7.26
'0:0:0.65,7.26
'0:0:0.66,7.26
'0:0:0.67,7.26
'0:0:0.68,7.14
'0:0:0.69,7.26
'0:0:0.7,7.26
'0:0:0.71,7.26
'0:0:0.72,7.26
'0:0:0.73,7.26
'0:0:0.74,7.14
'0:0:0.75,7.14
'0:0:0.76,7.26
'0:0:0.77,7.14
'0:0:0.78,7.14
'0:0:0.79,7.14
'0:0:0.8,7.14
'0:0:0.81,7.14
'0:0:0.82,7.14
'0:0:0.83,7.14
'0:0:0.84,7.14
'0:0:0.85,7.14
'0:0:0.86,7.14
'0:0:0.87,7.14
'0:0:0.88,7.14
'0:0:0.89,7.14
'0:0:0.9,7.02
'0:0:0.91,7.14
'0:0:0.92,7.02
'0:0:0.93,7.14
'0:0:0.94,7.14
'0:0:0.95,7.14
'0:0:0.96,7.14
'0:0:0.97,7.14
'0:0:0.98,7.14
'0:0:0.99,7.02
'0:0:1.0,7.02
'0:0:1.01,7.14
'0:0:1.02,7.02
'0:0:1.03,7.14
'0:0:1.04,7.02
'0:0:1.05,7.14
'0:0:1.06,7.02
'0:0:1.07,7.02
'0:0:1.08,7.02
'0:0:1.09,7.02
'0:0:1.1,7.02
'0:0:1.11,7.02
'0:0:1.12,7.02
'0:0:1.13,7.02
'0:0:1.14,7.02
'0:0:1.15,7.02
'0:0:1.16,7.02
'0:0:1.17,7.02
'0:0:1.18,6.90
'0:0:1.19,7.02
'0:0:1.2,7.02
'0:0:1.21,6.90
'0:0:1.22,6.90
'0:0:1.23,6.90
'0:0:1.24,6.90
'0:0:1.25,6.90
'0:0:1.26,6.90
'0:0:1.27,6.90
'0:0:1.28,6.90
'0:0:1.29,6.90
'0:0:1.3,6.90
'0:0:1.31,6.90
'0:0:1.32,6.90
'0:0:1.33,6.90
'0:0:1.34,6.90
'0:0:1.35,7.02
'0:0:1.36,6.90
'0:0:1.37,6.90
'0:0:1.38,6.90
'0:0:1.39,6.90
'0:0:1.4,6.90
'0:0:1.41,6.90
'0:0:1.42,6.90
'0:0:1.43,6.90
'0:0:1.44,6.90
'0:0:1.45,6.78
'0:0:1.46,6.78
'0:0:1.47,6.78
'0:0:1.48,6.78
'0:0:1.49,6.78
'0:0:1.5,6.90
'0:0:1.51,6.90
'0:0:1.52,6.90
'0:0:1.53,6.90
'0:0:1.54,6.90
'0:0:1.55,6.90
'0:0:1.56,6.78
'0:0:1.57,6.90
'0:0:1.58,6.90
'0:0:1.59,6.78
'0:0:1.6,6.78
'0:0:1.61,6.90
'0:0:1.62,6.90
'0:0:1.63,6.78
