,Experiment name:,Espino_Forzado1
Duration:,10 Seconds
Rate:,100 per second
Sensors:,Spirometer (ID 2  Exp 1)
Range:,L/s
Units:,L/s
Time
'3.88578058619e-16,0.000
'0.01,0.000
'0.02,0.000
'0.03,0.181
'0.04,0.181
'0.05,0.209
'0.06,0.209
'0.07,0.233
'0.08,0.256
'0.09,0.276
'0.1,0.276
'0.11,0.295
'0.12,0.313
'0.13,0.330
'0.14,0.330
'0.15,0.346
'0.16,0.362
'0.17,0.377
'0.18,0.391
'0.19,0.405
'0.2,0.418
'0.21,0.431
'0.22,0.443
'0.23,0.455
'0.24,0.467
'0.25,0.479
'0.26,0.490
'0.27,0.501
'0.28,0.512
'0.29,0.523
'0.3,0.523
'0.31,0.533
'0.32,0.543
'0.33,0.543
'0.34,0.543
'0.35,0.553
'0.36,0.563
'0.37,0.572
'0.38,0.591
'0.39,0.600
'0.4,0.618
'0.41,0.636
'0.42,0.644
'0.43,0.661
'0.44,0.677
'0.45,0.677
'0.46,0.685
'0.47,0.701
'0.48,0.701
'0.49,0.717
'0.5,0.724
'0.51,0.739
'0.52,0.754
'0.53,0.761
'0.54,0.775
'0.55,0.789
'0.56,0.803
'0.57,0.810
'0.58,0.816
'0.59,0.830
'0.6,0.836
'0.61,0.849
'0.62,0.849
'0.63,0.856
'0.64,0.862
'0.65,0.868
'0.66,0.868
'0.67,0.881
'0.68,0.893
'0.69,0.911
'0.7,0.923
'0.71,0.935
'0.72,0.952
'0.73,0.964
'0.74,0.975
'0.75,0.986
'0.76,0.986
'0.77,0.992
'0.78,0.997
'0.79,0.997
'0.8,1.003
'0.81,0.992
'0.82,0.997
'0.83,0.992
'0.84,0.992
'0.85,0.986
'0.86,0.997
'0.87,0.997
'0.88,0.997
'0.89,1.003
'0.9,0.997
'0.91,0.997
'0.92,0.992
'0.93,0.997
'0.94,1.003
'0.95,1.003
'0.96,0.997
'0.97,0.992
'0.98,0.992
'0.99,0.992
'1.0,0.997
'1.01,1.008
'1.02,1.008
'1.03,1.008
'1.04,1.014
'1.05,1.014
'1.06,1.014
'1.07,1.014
'1.08,1.014
'1.09,1.008
'1.1,1.008
'1.11,1.008
'1.12,1.008
'1.13,1.008
'1.14,1.003
'1.15,0.997
'1.16,1.003
'1.17,1.003
'1.18,1.003
'1.19,0.997
'1.2,0.997
'1.21,0.986
'1.22,0.981
'1.23,0.975
'1.24,0.975
'1.25,0.975
'1.26,0.975
'1.27,0.975
'1.28,0.970
'1.29,0.970
'1.3,0.964
'1.31,0.964
'1.32,0.964
'1.33,0.964
'1.34,0.958
'1.35,0.958
'1.36,0.952
'1.37,0.952
'1.38,0.952
'1.39,0.958
'1.4,0.952
'1.41,0.958
'1.42,0.952
'1.43,0.947
'1.44,0.947
'1.45,0.947
'1.46,0.947
'1.47,0.941
'1.48,0.935
'1.49,0.935
'1.5,0.935
'1.51,0.929
'1.52,0.929
'1.53,0.929
'1.54,0.935
'1.55,0.929
'1.56,0.929
'1.57,0.935
'1.58,0.941
'1.59,0.941
'1.6,0.941
'1.61,0.947
'1.62,0.952
'1.63,0.958
'1.64,0.952
'1.65,0.964
'1.66,0.964
'1.67,0.958
'1.68,0.958
'1.69,0.952
'1.7,0.941
'1.71,0.947
'1.72,0.935
'1.73,0.941
'1.74,0.947
'1.75,0.947
'1.76,0.947
'1.77,0.947
'1.78,0.947
'1.79,0.947
'1.8,0.958
'1.81,0.958
'1.82,0.964
'1.83,0.964
'1.84,0.964
'1.85,0.964
'1.86,0.964
'1.87,0.964
'1.88,0.970
'1.89,0.970
'1.9,0.964
'1.91,0.958
'1.92,0.958
'1.93,0.958
'1.94,0.952
'1.95,0.952
'1.96,0.952
'1.97,0.952
'1.98,0.952
'1.99,0.958
'2.0,0.958
'2.01,0.947
'2.02,0.947
'2.03,0.947
'2.04,0.947
'2.05,0.947
'2.06,0.952
'2.07,0.947
'2.08,0.947
'2.09,0.947
'2.1,0.947
'2.11,0.952
'2.12,0.947
'2.13,0.941
'2.14,0.941
'2.15,0.935
'2.16,0.923
'2.17,0.923
'2.18,0.917
'2.19,0.905
'2.2,0.905
'2.21,0.905
'2.22,0.899
'2.23,0.899
'2.24,0.899
'2.25,0.893
'2.26,0.899
'2.27,0.899
'2.28,0.899
'2.29,0.905
'2.3,0.911
'2.31,0.911
'2.32,0.911
'2.33,0.911
'2.34,0.905
'2.35,0.911
'2.36,0.905
'2.37,0.905
'2.38,0.905
'2.39,0.905
'2.4,0.905
'2.41,0.899
'2.42,0.899
'2.43,0.905
'2.44,0.905
'2.45,0.905
'2.46,0.911
'2.47,0.905
'2.48,0.911
'2.49,0.899
'2.5,0.899
'2.51,0.905
'2.52,0.911
'2.53,0.899
'2.54,0.899
'2.55,0.893
'2.56,0.893
'2.57,0.899
'2.58,0.899
'2.59,0.899
'2.6,0.899
'2.61,0.899
'2.62,0.893
'2.63,0.899
'2.64,0.905
'2.65,0.905
'2.66,0.905
'2.67,0.899
'2.68,0.899
'2.69,0.887
'2.7,0.887
'2.71,0.887
'2.72,0.887
'2.73,0.881
'2.74,0.881
'2.75,0.875
'2.76,0.881
'2.77,0.881
'2.78,0.875
'2.79,0.881
'2.8,0.875
'2.81,0.868
'2.82,0.868
'2.83,0.862
'2.84,0.862
'2.85,0.856
'2.86,0.849
'2.87,0.849
'2.88,0.843
'2.89,0.836
'2.9,0.830
'2.91,0.823
'2.92,0.816
'2.93,0.816
'2.94,0.810
'2.95,0.803
'2.96,0.789
'2.97,0.782
'2.98,0.782
'2.99,0.775
'3.0,0.768
'3.01,0.768
'3.02,0.768
'3.03,0.761
'3.04,0.754
'3.05,0.746
'3.06,0.746
'3.07,0.746
'3.08,0.739
'3.09,0.739
'3.1,0.739
'3.11,0.732
'3.12,0.732
'3.13,0.717
'3.14,0.724
'3.15,0.732
'3.16,0.732
'3.17,0.724
'3.18,0.717
'3.19,0.717
'3.2,0.709
'3.21,0.709
'3.22,0.709
'3.23,0.709
'3.24,0.709
'3.25,0.701
'3.26,0.701
'3.27,0.701
'3.28,0.709
'3.29,0.709
'3.3,0.709
'3.31,0.701
'3.32,0.709
'3.33,0.701
'3.34,0.701
'3.35,0.701
'3.36,0.701
'3.37,0.693
'3.38,0.685
'3.39,0.685
'3.4,0.685
'3.41,0.685
'3.42,0.677
'3.43,0.677
'3.44,0.669
'3.45,0.669
'3.46,0.661
'3.47,0.661
'3.48,0.653
'3.49,0.644
'3.5,0.644
'3.51,0.636
'3.52,0.627
'3.53,0.618
'3.54,0.618
'3.55,0.609
'3.56,0.600
'3.57,0.591
'3.58,0.591
'3.59,0.591
'3.6,0.582
'3.61,0.582
'3.62,0.582
'3.63,0.582
'3.64,0.572
'3.65,0.572
'3.66,0.572
'3.67,0.572
'3.68,0.572
'3.69,0.563
'3.7,0.563
'3.71,0.553
'3.72,0.553
'3.73,0.543
'3.74,0.533
'3.75,0.523
'3.76,0.523
'3.77,0.512
'3.78,0.512
'3.79,0.501
'3.8,0.501
'3.81,0.501
'3.82,0.501
'3.83,0.501
'3.84,0.490
'3.85,0.490
'3.86,0.490
'3.87,0.490
'3.88,0.490
'3.89,0.490
'3.9,0.490
'3.91,0.479
'3.92,0.479
'3.93,0.479
'3.94,0.479
'3.95,0.479
'3.96,0.479
'3.97,0.479
'3.98,0.467
'3.99,0.467
'4.0,0.467
'4.01,0.467
'4.02,0.467
'4.03,0.455
'4.04,0.455
'4.05,0.443
'4.06,0.443
'4.07,0.431
'4.08,0.431
'4.09,0.418
'4.1,0.418
'4.11,0.418
'4.12,0.418
'4.13,0.405
'4.14,0.391
'4.15,0.391
'4.16,0.391
'4.17,0.377
'4.18,0.377
'4.19,0.362
'4.2,0.346
'4.21,0.330
'4.22,0.330
'4.23,0.313
'4.24,0.295
'4.25,0.276
'4.26,0.276
'4.27,0.256
'4.28,0.233
'4.29,0.209
'4.3,0.181
'4.31,0.181
'4.32,0.000
'4.33,0.000
'4.34,0.000
'4.35,0.000
'4.36,0.000
'4.37,0.000
'4.38,0.000
'4.39,0.000
'4.4,0.000
'4.41,0.000
'4.42,0.000
'4.43,0.000
'4.44,0.000
'4.45,0.000
'4.46,0.000
'4.47,0.000
'4.48,0.000
'4.49,0.000
'4.5,0.000
'4.51,0.000
'4.52,0.000
'4.53,0.000
'4.54,0.000
'4.55,0.000
'4.56,0.000
'4.57,0.000
'4.58,0.000
'4.59,0.000
'4.6,0.000
'4.61,0.000
'4.62,0.000
'4.63,0.000
'4.64,0.000
'4.65,0.000
'4.66,0.000
'4.67,0.000
'4.68,0.000
'4.69,0.000
'4.7,0.000
'4.71,0.000
'4.72,0.000
'4.73,0.000
'4.74,0.000
'4.75,0.000
'4.76,0.000
'4.77,0.000
'4.78,0.000
'4.79,0.000
'4.8,0.000
'4.81,0.000
'4.82,0.000
'4.83,0.000
'4.84,0.000
'4.85,0.000
'4.86,0.000
'4.87,0.000
'4.88,0.000
'4.89,0.000
'4.9,0.000
'4.91,0.000
'4.92,0.000
'4.93,0.000
'4.94,0.000
'4.95,0.000
'4.96,0.000
'4.97,0.000
'4.98,0.000
'4.99,0.000
'5.0,0.000
'5.01,0.000
'5.02,0.000
'5.03,0.000
'5.04,0.000
'5.05,0.000
'5.06,0.000
'5.07,0.000
'5.08,0.000
'5.09,0.000
'5.1,0.000
'5.11,0.000
'5.12,0.000
'5.13,0.000
'5.14,0.000
'5.15,0.000
'5.16,0.000
'5.17,0.000
'5.18,0.000
'5.19,0.000
'5.2,0.000
'5.21,0.000
'5.22,0.000
'5.23,0.000
'5.24,0.000
'5.25,0.000
'5.26,0.000
'5.27,0.000
'5.28,0.000
'5.29,0.000
'5.3,0.000
'5.31,0.000
'5.32,0.000
'5.33,0.000
'5.34,0.000
'5.35,0.000
'5.36,0.000
'5.37,0.000
'5.38,0.000
'5.39,0.000
'5.4,0.000
'5.41,0.000
'5.42,0.000
'5.43,0.000
'5.44,0.000
'5.45,0.000
'5.46,0.000
'5.47,0.000
'5.48,0.000
'5.49,0.000
'5.5,0.000
'5.51,0.000
'5.52,0.000
'5.53,0.000
'5.54,0.000
'5.55,0.000
'5.56,0.000
'5.57,0.000
'5.58,0.000
'5.59,0.000
'5.6,0.000
'5.61,0.000
'5.62,0.000
'5.63,0.000
'5.64,0.000
'5.65,0.000
'5.66,0.000
'5.67,0.000
'5.68,0.000
'5.69,0.000
'5.7,0.000
'5.71,0.000
'5.72,0.000
'5.73,0.000
'5.74,0.000
'5.75,0.000
'5.76,0.000
'5.77,0.000
'5.78,0.000
'5.79,0.000
'5.8,0.000
'5.81,0.000
'5.82,0.000
'5.83,0.000
'5.84,0.000
'5.85,0.000
'5.86,0.000
'5.87,0.000
'5.88,0.000
'5.89,0.000
'5.9,0.000
'5.91,0.000
'5.92,0.000
'5.93,0.000
'5.94,0.000
'5.95,0.000
'5.96,0.000
'5.97,0.000
'5.98,0.000
'5.99,0.000
'6.0,0.000
'6.01,0.000
'6.02,0.000
'6.03,0.000
'6.04,0.000
'6.05,0.000
'6.06,0.000
'6.07,0.000
'6.08,0.000
'6.09,0.000
'6.1,0.000
'6.11,0.000
'6.12,0.000
'6.13,0.000
'6.14,0.000
'6.15,0.000
'6.16,0.000
'6.17,0.000
'6.18,0.000
'6.19,0.000
'6.2,0.000
'6.21,0.000
'6.22,0.000
'6.23,0.000
'6.24,0.000
'6.25,0.000
'6.26,0.000
'6.27,0.000
'6.28,0.000
'6.29,0.000
'6.3,0.000
'6.31,0.000
'6.32,0.000
'6.33,0.000
'6.34,0.000
'6.35,0.000
'6.36,0.000
'6.37,0.000
'6.38,0.000
'6.39,0.000
'6.4,0.000
'6.41,0.000
'6.42,0.000
'6.43,0.000
'6.44,0.000
'6.45,0.000
'6.46,0.000
'6.47,0.000
'6.48,0.000
'6.49,0.000
'6.5,0.000
'6.51,0.000
'6.52,0.000
'6.53,0.000
'6.54,0.000
'6.55,0.000
'6.56,0.000
'6.57,0.000
'6.58,0.000
'6.59,0.000
'6.6,0.000
'6.61,0.000
'6.62,0.000
'6.63,0.000
'6.64,0.000
'6.65,0.000
'6.66,0.000
'6.67,0.000
'6.68,0.000
'6.69,0.000
'6.7,0.000
'6.71,0.000
'6.72,0.000
'6.73,0.000
'6.74,0.000
'6.75,0.000
'6.76,0.000
'6.77,0.000
'6.78,0.000
'6.79,0.000
'6.8,0.000
'6.81,0.000
'6.82,0.000
'6.83,0.000
'6.84,0.000
'6.85,0.000
'6.86,0.000
'6.87,0.000
'6.88,0.000
'6.89,0.000
'6.9,0.000
'6.91,0.000
'6.92,0.000
'6.93,0.000
'6.94,0.000
'6.95,0.000
'6.96,0.000
'6.97,0.000
'6.98,0.000
'6.99,0.000
'7.0,0.000
'7.01,0.000
'7.02,0.000
'7.03,0.000
'7.04,0.000
'7.05,0.000
'7.06,0.000
'7.07,0.000
'7.08,0.000
'7.09,0.000
'7.1,0.000
'7.11,0.000
'7.12,0.000
'7.13,0.000
'7.14,0.000
'7.15,0.000
'7.16,0.000
'7.17,0.000
'7.18,0.000
'7.19,0.000
'7.2,0.000
'7.21,0.000
'7.22,0.000
'7.23,0.000
'7.24,0.000
'7.25,0.000
'7.26,0.000
'7.27,0.000
'7.28,0.000
'7.29,0.000
'7.3,0.000
'7.31,0.000
'7.32,0.000
'7.33,0.000
'7.34,0.000
'7.35,0.000
'7.36,0.000
'7.37,0.000
'7.38,0.000
'7.39,0.000
'7.4,0.000
'7.41,0.000
'7.42,0.000
'7.43,0.000
'7.44,0.000
'7.45,0.000
'7.46,0.000
'7.47,0.000
'7.48,0.000
'7.49,0.000
'7.5,0.000
'7.51,0.000
'7.52,0.000
'7.53,0.000
'7.54,0.000
'7.55,0.000
'7.56,0.000
'7.57,0.000
'7.58,0.000
'7.59,0.000
'7.6,0.000
'7.61,0.000
'7.62,0.000
'7.63,0.000
'7.64,0.000
'7.65,0.000
'7.66,0.000
'7.67,0.000
'7.68,0.000
'7.69,0.000
'7.7,0.000
'7.71,0.000
'7.72,0.000
'7.73,0.000
'7.74,0.000
'7.75,0.000
'7.76,0.000
'7.77,0.000
'7.78,0.000
'7.79,0.000
'7.8,0.000
'7.81,0.000
'7.82,0.000
'7.83,0.000
'7.84,0.000
'7.85,0.000
'7.86,0.000
'7.87,0.000
'7.88,0.000
'7.89,0.000
'7.9,0.000
'7.91,0.000
'7.92,0.000
'7.93,0.000
'7.94,0.000
'7.95,0.000
'7.96,0.000
'7.97,0.000
'7.98,0.000
'7.99,0.000
'8.0,0.000
'8.01,0.000
'8.02,0.181
'8.03,0.000
'8.04,0.000
'8.05,0.000
'8.06,0.000
'8.07,0.181
'8.08,0.181
'8.09,0.181
'8.1,0.000
'8.11,0.000
'8.12,0.000
'8.13,0.000
'8.14,0.000
'8.15,0.000
'8.16,0.000
'8.17,0.000
'8.18,0.000
'8.19,0.000
'8.2,0.000
'8.21,0.000
'8.22,0.000
'8.23,0.000
'8.24,0.000
'8.25,0.181
'8.26,0.181
'8.27,0.181
'8.28,0.181
'8.29,0.181
'8.3,0.181
'8.31,0.000
'8.32,0.000
'8.33,0.181
'8.34,0.181
'8.35,0.181
'8.36,0.181
'8.37,0.181
'8.38,0.181
'8.39,0.181
'8.4,0.181
'8.41,0.181
'8.42,0.181
'8.43,0.181
'8.44,0.000
'8.45,0.000
'8.46,0.000
'8.47,0.000
'8.48,0.000
'8.49,0.000
'8.5,0.000
'8.51,0.000
'8.52,0.000
'8.53,0.000
'8.54,0.000
'8.55,0.000
'8.56,0.000
'8.57,0.000
'8.58,0.000
'8.59,0.000
'8.6,0.000
'8.61,0.000
'8.62,0.181
'8.63,0.181
'8.64,0.181
'8.65,0.181
'8.66,0.181
'8.67,0.181
'8.68,0.000
'8.69,0.000
'8.7,0.000
'8.71,0.000
'8.72,0.000
'8.73,0.000
'8.74,0.000
'8.75,0.000
'8.76,0.000
'8.77,0.000
'8.78,0.181
'8.79,0.181
'8.8,0.181
'8.81,0.000
'8.82,0.000
'8.83,0.000
'8.84,0.000
'8.85,0.000
'8.86,0.000
'8.87,0.000
'8.88,0.000
'8.89,0.000
'8.9,0.000
'8.91,0.000
'8.92,0.000
'8.93,0.000
'8.94,0.000
'8.95,0.000
'8.96,0.000
'8.97,0.000
'8.98,0.000
'8.99,0.000
'9.0,0.000
'9.01,0.000
'9.02,0.000
'9.03,0.000
'9.04,0.000
'9.05,0.000
'9.06,0.000
'9.07,0.000
'9.08,0.000
'9.09,0.000
'9.1,0.000
'9.11,0.000
'9.12,0.000
'9.13,0.000
'9.14,0.000
'9.15,0.000
'9.16,0.000
'9.17,0.000
'9.18,0.000
'9.19,0.000
'9.2,0.000
'9.21,0.000
'9.22,0.000
'9.23,0.000
'9.24,0.000
'9.25,0.181
'9.26,0.000
'9.27,0.000
'9.28,0.000
'9.29,0.000
'9.3,0.000
'9.31,0.000
'9.32,0.000
'9.33,0.000
'9.34,0.000
'9.35,0.000
'9.36,0.000
'9.37,0.000
'9.38,0.000
'9.39,0.000
'9.4,0.000
'9.41,0.000
'9.42,0.000
'9.43,0.000
'9.44,0.000
'9.45,0.000
'9.46,0.000
'9.47,0.000
'9.48,0.000
'9.49,0.000
'9.5,0.000
'9.51,0.000
'9.52,0.000
'9.53,0.000
'9.54,0.000
'9.55,0.000
'9.56,0.000
'9.57,0.000
'9.58,0.000
'9.59,0.000
'9.6,0.000
'9.61,0.000
'9.62,0.000
'9.63,0.000
'9.64,0.000
'9.65,0.000
'9.66,0.000
'9.67,0.000
'9.68,0.000
'9.69,0.000
'9.7,0.000
'9.71,0.000
'9.72,0.000
'9.73,0.000
'9.74,0.000
'9.75,0.000
'9.76,0.000
'9.77,0.000
'9.78,0.000
'9.79,0.000
'9.8,0.000
'9.81,0.000
'9.82,0.000
'9.83,0.000
'9.84,0.000
'9.85,0.000
'9.86,0.000
'9.87,0.000
'9.88,0.000
'9.89,0.000
'9.9,0.000
'9.91,0.000
'9.92,0.000
'9.93,0.000
'9.94,0.000
'9.95,0.000
'9.96,0.000
'9.97,0.000
'9.98,0.000
'9.99,0.000
'10.0,0.000
sys info:[91~54~52~93~44~91~34~50~49~126~50~126~49~126~49~126~35~54~98~49~97~54~98~126~76~101~102~116~126~49~48~126~45~49~48~126~89~101~115~34~93~44~91~34~82~97~116~101~34~93~44~91~54~93~44~91~34~82~101~115~101~114~118~101~34~93~44~91~34~78~111~110~101~34~93~44~91~34~84~111~116~97~108~95~115~97~109~112~108~101~115~34~93~44~91~49~48~48~49~93~44~91~34~69~120~112~32~73~68~34~93~44~91~34~50~48~50~53~45~49~50~45~49~56~32~49~54~58~48~52~58~50~54~46~54~51~54~48~48~48~34~93]
Attention! Any change in the file may prevent reading its data.
